Global Land and Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
191808,-0.1653
191809,-0.1380
191810,-0.0890
191811,-0.1047
191812,-0.3109
191901,-0.2333
191902,-0.0500
191903,-0.2313
191904,-0.0648
191905,-0.1775
191906,-0.2273
191907,-0.2061
191908,-0.2007
191909,-0.1724
191910,-0.2137
191911,-0.3111
191912,-0.2911
192001,-0.1108
192002,-0.2226
192003,-0.0540
192004,-0.2055
192005,-0.1636
192006,-0.2491
192007,-0.2375
192008,-0.2216
192009,-0.1691
192010,-0.2040
192011,-0.2462
192012,-0.3810
192101,-0.0523
192102,-0.1428
192103,-0.2121
192104,-0.1985
192105,-0.1841
192106,-0.1582
192107,-0.1053
192108,-0.1864
192109,-0.1404
192110,-0.0587
192111,-0.1769
192112,-0.0752
192201,-0.3150
192202,-0.2857
192203,-0.0702
192204,-0.1208
192205,-0.2566
192206,-0.2748
192207,-0.2544
192208,-0.2708
192209,-0.2472
192210,-0.2398
192211,-0.1835
192212,-0.1468
192301,-0.2085
192302,-0.3704
192303,-0.2607
192304,-0.3317
192305,-0.2428
192306,-0.1871
192307,-0.2720
192308,-0.2726
192309,-0.2377
192310,-0.1517
192311,0.0380
192312,0.0126
192401,-0.2430
192402,-0.1786
192403,-0.1079
192404,-0.2366
192405,-0.1810
192406,-0.2173
192407,-0.2107
192408,-0.2800
192409,-0.2751
192410,-0.2769
192411,-0.2879
192412,-0.3884
192501,-0.3092
192502,-0.2692
192503,-0.1601
192504,-0.1561
192505,-0.2111
192506,-0.2192
192507,-0.1994
192508,-0.1272
192509,-0.0943
192510,-0.1182
192511,0.0689
192512,0.1498
192601,0.1777
192602,0.0928
192603,0.0844
192604,-0.1213
192605,-0.1228
192606,-0.1156
192607,-0.1507
192608,-0.0796
192609,-0.0970
192610,-0.0738
192611,-0.0703
192612,-0.1995
192701,-0.1651
192702,-0.1792
192703,-0.2482
192704,-0.2106
192705,-0.2184
192706,-0.1935
192707,-0.0947
192708,-0.1061
192709,-0.0195
192710,0.0244
192711,-0.0329
192712,-0.3002
192801,-0.0697
192802,-0.1366
192803,-0.2575
192804,-0.2392
192805,-0.1767
192806,-0.2704
192807,-0.1719
192808,-0.1926
192809,-0.1810
192810,-0.1164
192811,-0.0647
192812,-0.1615
192901,-0.4752
192902,-0.5382
192903,-0.2595
192904,-0.2940
192905,-0.2843
192906,-0.2719
192907,-0.2696
192908,-0.2061
192909,-0.2084
192910,-0.1148
192911,-0.0950
192912,-0.5072
193001,-0.3215
193002,-0.2034
193003,-0.0596
193004,-0.1938
193005,-0.1952
193006,-0.1103
193007,-0.0599
193008,-0.0789
193009,-0.0984
193010,0.0048
193011,0.1432
193012,0.0083
193101,-0.0444
193102,-0.2220
193103,-0.0042
193104,-0.1574
193105,-0.1496
193106,-0.0197
193107,-0.0103
193108,0.0081
193109,0.0052
193110,0.0149
193111,-0.1130
193112,-0.1032
193201,0.1563
193202,-0.1739
193203,-0.1787
193204,-0.0321
193205,-0.1623
193206,-0.1525
193207,-0.1191
193208,-0.1728
193209,-0.0685
193210,-0.0899
193211,-0.1948
193212,-0.1853
193301,-0.3070
193302,-0.3107
193303,-0.2453
193304,-0.2013
193305,-0.2047
193306,-0.1968
193307,-0.1794
193308,-0.1850
193309,-0.2188
193310,-0.1838
193311,-0.2559
193312,-0.4067
193401,-0.3110
193402,-0.0190
193403,-0.2569
193404,-0.2313
193405,-0.0457
193406,-0.0086
193407,-0.0942
193408,-0.0570
193409,-0.1246
193410,-0.0691
193411,0.0058
193412,-0.0263
193501,-0.2896
193502,0.1676
193503,-0.1488
193504,-0.2544
193505,-0.2006
193506,-0.1719
193507,-0.1148
193508,-0.1003
193509,-0.0900
193510,-0.0104
193511,-0.2675
193512,-0.1725
193601,-0.2530
193602,-0.3138
193603,-0.2103
193604,-0.1780
193605,-0.1143
193606,-0.1057
193607,-0.0085
193608,-0.0516
193609,-0.0373
193610,-0.0199
193611,-0.0239
193612,-0.0165
193701,-0.1694
193702,0.0401
193703,-0.1823
193704,-0.1246
193705,-0.0193
193706,0.0122
193707,-0.0019
193708,0.0909
193709,0.1298
193710,0.1135
193711,0.0100
193712,-0.0867
193801,-0.0371
193802,-0.0523
193803,0.0312
193804,0.0431
193805,-0.0190
193806,-0.0918
193807,-0.0483
193808,-0.0170
193809,0.0308
193810,0.0715
193811,0.0045
193812,-0.2544
193901,-0.1618
193902,-0.1071
193903,-0.1868
193904,-0.1283
193905,-0.0344
193906,-0.0100
193907,0.0076
193908,0.0597
193909,0.0146
193910,-0.0384
193911,0.0491
193912,0.4114
194001,-0.1209
194002,0.0517
194003,0.0664
194004,0.1291
194005,0.0558
194006,0.1066
194007,0.1479
194008,0.0959
194009,0.1480
194010,0.1036
194011,0.1005
194012,0.2709
194101,0.1784
194102,0.2297
194103,0.1031
194104,0.2206
194105,0.2427
194106,0.1619
194107,0.2051
194108,0.1721
194109,0.0852
194110,0.3121
194111,0.2188
194112,0.2065
194201,0.2998
194202,0.0991
194203,0.1729
194204,0.1878
194205,0.1617
194206,0.2064
194207,0.0766
194208,0.0385
194209,0.1124
194210,0.1447
194211,0.1646
194212,0.1460
194301,-0.0300
194302,0.1680
194303,0.0756
194304,0.1731
194305,0.1343
194306,0.0238
194307,0.1862
194308,0.0979
194309,0.1435
194310,0.3124
194311,0.2497
194312,0.3616
194401,0.4269
194402,0.2993
194403,0.3608
194404,0.2649
194405,0.2615
194406,0.3348
194407,0.3109
194408,0.2687
194409,0.3841
194410,0.3167
194411,0.1444
194412,0.0951
194501,0.1548
194502,0.0136
194503,0.1095
194504,0.2785
194505,0.1714
194506,0.1408
194507,0.1655
194508,0.3533
194509,0.2552
194510,0.2597
194511,0.1942
194512,-0.0525
194601,0.2207
194602,0.0864
194603,-0.0060
194604,0.1722
194605,-0.0337
194606,-0.1104
194607,-0.0413
194608,-0.0722
194609,-0.0252
194610,-0.0124
194611,-0.0174
194612,-0.2722
194701,-0.1956
194702,-0.0860
194703,-0.0175
194704,0.0076
194705,-0.0275
194706,0.0097
194707,-0.0191
194708,-0.0679
194709,-0.1320
194710,0.0501
194711,-0.0301
194712,-0.1507
194801,0.0479
194802,-0.0970
194803,-0.1945
194804,-0.0695
194805,0.1427
194806,-0.0190
194807,-0.0640
194808,-0.0298
194809,-0.1080
194810,-0.0685
194811,-0.0646
194812,-0.1164
194901,0.1141
194902,-0.1533
194903,-0.0776
194904,0.0009
194905,-0.0102
194906,-0.1527
194907,-0.0788
194908,-0.0269
194909,-0.0736
194910,-0.0357
194911,-0.0569
194912,-0.1885
195001,-0.2790
195002,-0.2395
195003,-0.0879
195004,-0.1710
195005,-0.0538
195006,-0.0596
195007,-0.1046
195008,-0.1396
195009,-0.1072
195010,-0.1687
195011,-0.3631
195012,-0.1835
195101,-0.2900
195102,-0.4089
195103,-0.1690
195104,-0.0881
195105,0.0537
195106,0.0352
195107,0.1086
195108,0.1131
195109,0.1334
195110,0.1066
195111,0.0241
195112,0.2137
195201,0.1513
195202,0.0914
195203,-0.0473
195204,0.0656
195205,0.0348
195206,0.0390
195207,0.0720
195208,0.0656
195209,0.0652
195210,-0.0380
195211,-0.1974
195212,-0.0091
195301,0.1018
195302,0.1533
195303,0.1536
195304,0.1863
195305,0.1435
195306,0.1261
195307,0.0663
195308,0.0811
195309,0.0641
195310,0.0724
195311,-0.0629
195312,0.0551
195401,-0.2370
195402,-0.0861
195403,-0.0898
195404,-0.1757
195405,-0.2002
195406,-0.1148
195407,-0.1227
195408,-0.0889
195409,-0.0595
195410,-0.0703
195411,0.0395
195412,-0.1870
195501,0.0897
195502,-0.1292
195503,-0.3078
195504,-0.2362
195505,-0.1262
195506,-0.0685
195507,-0.0888
195508,-0.0244
195509,-0.0936
195510,-0.1252
195511,-0.2376
195512,-0.2715
195601,-0.1761
195602,-0.2731
195603,-0.1984
195604,-0.2845
195605,-0.2256
195606,-0.1435
195607,-0.1351
195608,-0.1868
195609,-0.2518
195610,-0.1995
195611,-0.1574
195612,-0.1556
195701,-0.1216
195702,-0.1129
195703,-0.0668
195704,-0.0188
195705,0.1082
195706,0.1597
195707,0.0604
195708,0.1288
195709,0.0729
195710,0.0121
195711,0.1269
195712,0.2275
195801,0.2952
195802,0.2076
195803,0.1184
195804,0.1142
195805,0.1030
195806,0.0625
195807,0.0621
195808,0.0531
195809,0.0170
195810,0.0387
195811,0.0904
195812,0.1426
195901,0.1240
195902,0.0679
195903,0.2045
195904,0.1176
195905,0.0263
195906,0.0843
195907,0.0655
195908,0.0509
195909,0.0959
195910,-0.0134
195911,-0.0778
195912,-0.0345
196001,0.0032
196002,0.1856
196003,-0.2028
196004,-0.0955
196005,-0.0856
196006,0.0774
196007,0.0334
196008,0.0455
196009,0.0634
196010,0.0389
196011,-0.0487
196012,0.2264
196101,0.1184
196102,0.1766
196103,0.1633
196104,0.1330
196105,0.1601
196106,0.1486
196107,0.0335
196108,0.0308
196109,-0.0079
196110,-0.0361
196111,0.0144
196112,-0.0186
196201,0.1329
196202,0.1685
196203,0.1189
196204,0.0758
196205,0.0574
196206,0.0574
196207,0.0898
196208,0.0559
196209,0.0612
196210,0.0776
196211,0.0755
196212,0.0855
196301,0.0367
196302,0.2553
196303,-0.0237
196304,-0.0039
196305,0.0109
196306,0.0468
196307,0.1355
196308,0.1548
196309,0.1625
196310,0.2098
196311,0.1919
196312,0.0799
196401,0.0469
196402,-0.1061
196403,-0.1435
196404,-0.1843
196405,-0.1000
196406,-0.0940
196407,-0.1144
196408,-0.1688
196409,-0.2107
196410,-0.2659
196411,-0.2041
196412,-0.2671
196501,-0.0718
196502,-0.1981
196503,-0.1015
196504,-0.1884
196505,-0.0788
196506,-0.0449
196507,-0.0845
196508,-0.0489
196509,-0.0513
196510,0.0213
196511,-0.0922
196512,-0.0141
196601,-0.0491
196602,-0.0394
196603,-0.0040
196604,-0.0920
196605,-0.0365
196606,0.0572
196607,0.0653
196608,0.0195
196609,0.0242
196610,-0.0611
196611,-0.0463
196612,-0.1262
196701,-0.1093
196702,-0.1675
196703,0.0025
196704,0.0048
196705,0.1239
196706,-0.0314
196707,-0.0206
196708,-0.0076
196709,-0.0356
196710,0.1262
196711,-0.0263
196712,-0.0445
196801,-0.1900
196802,-0.1294
196803,0.1485
196804,-0.0718
196805,-0.0826
196806,-0.0186
196807,-0.0250
196808,-0.0185
196809,-0.0136
196810,0.0436
196811,0.0134
196812,-0.0454
196901,-0.1326
196902,-0.1049
196903,0.1181
196904,0.1912
196905,0.1711
196906,0.0724
196907,0.0888
196908,0.0935
196909,0.0819
196910,0.0678
196911,0.1907
196912,0.2462
197001,0.1192
197002,0.2342
197003,0.0321
197004,0.1301
197005,0.0391
197006,0.0259
197007,-0.0247
197008,-0.0219
197009,0.0047
197010,-0.0405
197011,0.0206
197012,-0.0976
197101,-0.0067
197102,-0.2155
197103,-0.1409
197104,-0.1316
197105,-0.0929
197106,-0.1285
197107,-0.0658
197108,-0.0715
197109,-0.0454
197110,-0.0775
197111,0.0363
197112,-0.0231
197201,-0.2420
197202,-0.1646
197203,0.0019
197204,0.0351
197205,0.0140
197206,0.0755
197207,0.0630
197208,0.0870
197209,0.0188
197210,0.0870
197211,0.0768
197212,0.2494
197301,0.2555
197302,0.3701
197303,0.3279
197304,0.2494
197305,0.2117
197306,0.1938
197307,0.1132
197308,0.0748
197309,0.0501
197310,0.0407
197311,0.0194
197312,0.0233
197401,-0.1980
197402,-0.2577
197403,-0.0542
197404,-0.0462
197405,-0.0299
197406,-0.0429
197407,0.0135
197408,0.0081
197409,-0.0467
197410,-0.0842
197411,-0.0705
197412,-0.1011
197501,0.1158
197502,0.0287
